codigo;institucion
2080;INSTITUTO TECNOLOGICO SUPERIOR DOCE DE FEBRERO
2081;INSTITUTO SUPERIOR TECNOLOGICO FISCOMISIONAL JUAN XXIII
2082;INSTITUTO TENCOLOGICO SUPERIOR PRIMERO DE MAYO
2084;INSTITUTO TECNICO SUPERIOR SOBERANIA NACIONAL
2085;INSTITUTO TECNICO SUPERIOR DYBRAIN
2086;INSTITUTO TECNOLOGICO SUPERIOR ESCA
2087;INSTITUTO TECNICO SUPERIOR ALFONSO AGUILAR RUILOVA
2093;INSTITUTO TECNICO SUPERIOR JAIME ROLDOS AGUILERA
2094;INSTITUTO TECNOLOGICO SUPERIOR LUIS ARBOLEDA MARTINEZ
2096;INSTITUTO TECNOLOGICO SUPERIOR PAULO EMILIO MACIAS
2097;INSTITUTO TECNOLOGICO SUPERIOR PORTOVIEJO
2100;INSTITUTO TECNICO SUPERIOR EZEQUIEL CARDENAS ESPINOZA
2102;INSTITUTO TECNOLOGICO SUPERIOR FRANCISCO DE ORELLANA
2107;INSTITUTO TECNOLOGICO SUPERIOR ESPIRITU SANTO
2109;INSTITUTO TECNOLOGICO SUPERIOR JOSE BENIGNO IGLESIAS
2111;INSTITUTO TECNOLOGICO SUPERIOR JOSE PERALTA
2113;INSTITUTO TECNOLOGICO SUPERIOR EURODISEÑO DEL ECUADOR
2116;INSTITUTO TECNOLOGICO SUPERIOR GUAYAQUIL
2117;INSTITUTO TECNOLOGICO SUPERIOR JOSE ANDRES MATEUS
2118;INSTITUTO TECNICO SUPERIOR JUAN BAUTISTA AGUIRRE
2120;INSTITUTO TECNOLOGICO SUPERIOR LICEO CRISTIANO
2121;INSTITUTO TECNOLOGICO SUPERIOR LIFE COLLEGE INTERNATIONAL
2123;INSTITUTO TECNOLOGICO PROVINCIA DE TUNGURAHUA
2125;INSTITUTO TECNICO SUPERIOR REY DAVID
2126;INSTITUTO TECNOLOGICO SUPERIOR SIMON BOLIVAR
2127;INSTITUTO TECNOLOGICO SUPERIOR SPEEDWRITING
2128;INSTITUTO TECNOLOGICO SUPERIOR SUDAMERICANO
2130;INSTITUTO TECNOLOGICO SUPERIOR URDESA
2133;INSTITUTO TECNOLOGICO SUPERIOR CUEST TV
2134;INSTITUTO TECNOLOGICO SUPERIOR JUAN BAUTISTA VASQUEZ
2137;INSTITUTO TECNOLOGICO DE ARTES VISUALES DE QUITO
2138;INSTITUTO TECNOLOGICO SUPERIOR LUIS ROGERIO GONZALEZ
2141;INSTITUTO TECNOLOGICO SUPERIOR ATLANTIC
2142;INSTITUTO TECNOLOGICO SUPERIOR RADIO Y TELEVISON
2143;INSTITUTO TECNOLOGICO SUPERIOR DE TECNOLOGIAS APROPIADAS
2145;INSTITUTO TECNOLOGICO SUPERIOR DE TURISMO Y HOTELERIA
2146;INSTITUTO TECNOLOGICO SUPERIOR DISMOD
2148;INSTITUTO TECNOLOGICO SUPERIOR ECUATORIANO DE PRODUCTIVIDAD
2150;INSTITUTO TECNOLOGICO SUPERIOR EL PACIFICO
2151;INSTITUTO TECNOLOGICO SUPERIOR ESCULAPIO
2152;INSTITUTO TENCOLOGICO SUPERIOR ESTADOS UNIDOS DE NORTEAMERICA
2153;INSTITUTO TECNOLOGICO SUPERIOR ALMIRANTE ILLINGW ORTH
2154;INSTITUTO TECNOLOGICO SUPERIOR ESTETICA INTEGRAL
2156;INSTITUTO TECNOLOGICO SUPERIOR ANA PAREDES DE ALFARO
2158;INSTITUTO TECNOLOGICO SUPERIOR ARGOS
2159;INSTITUTO TECNOLOGICO SUPERIOR GRAN COLOMBIA
2160;INSTITUTO HONORABLE CONSEJO PROVINCIAL DE PICHINCHA
2164;INSTITUTO TECNOLOGICO SUPERIOR BLUE HILL
2168;INSTITUTO TECNICO SUPERIOR CRISTO REY
2170;INSTITUTO TECNOLOGICO SUPERIOR INTISANA
2173;INSTITUTO TECNOLOGICO SUPERIOR ISMAC
2174;INSTITUTO TECNOLOGICO SUPERIOR JAPON
2175;INSTITUTO TECNOLOGICO SUPERIOR JULIO MORENO ESPINOSA
2177;INSTITUTO TECNOLOGICO SUPERIOR JUNIOR TECHNOLOGY
2178;INSTITUTO TECNOLOGICO SUPERIOR LATINO
2179;INSTITUTO TECNOLOGICO SUPERIOR LENDAN
2180;INSTITUTO TECNICO SUPERIOR LIBERTAD
2181;INSTITUTO TECNOLOGICO SUPERIOR LOS ANDES
2182;INSTITUTO TECNOLOGICO SUPERIOR LOS ANDES
2183;INSTITUTO TECNOLOGICO SUPERIOR LOS SHIRYS
2184;INSTITUTO TECNOLOGICO SUPERIOR LUIS NAPOLEON DILLON
2185;INSTITUTO TECNOLOGICO SUPERIOR PARA EL DESARROLLO
2186;INSTITUTO TECNOLOGICO SUPERIOR DE FÚTBOL (QUITO)
2189;INSTITUTO TECNOLOGICO SUPERIOR NELSON TORRES
2190;INSTITUTO TECNOLOGICO SUPERIOR NUEVO ECUADOR
2191;INSTITUTO TECNICO SUPERIOR OLIMPIA
2192;INSTITUTO TECNOLOGICO SUPERIOR POLICIA NACIONAL - NORTE
2193;INSTITUTO TECNOLOGICO SUPERIOR POLICIA NACIONAL - SUR
2194;INSTITUTO TECNOLOGICO SUPERIOR PROYECTO 2000
2195;INSTITUTO TECNOLOGICO SUPERIOR QUITO
2196;INSTITUTO TECNOLOGICO SUPERIOR QUITO METROPOLITANO
2198;INSTITUTO TECNOLOGICO SUPERIOR RUMIÑAHUI
2199;INSTITUTO TECNICO SUPERIOR SHALON
2200;INSTITUTO TECNOLOGICO SUPERIOR SUCRE
2201;INSTITUTO TECNOLOGICO SUPERIOR SUDAMERICANO
